schema_version,decomposition_basis,kanji,unicode,han_viet,han_viet_display,meaning_vi,mnemonic_vi,etymology_summary_vi,formation_type,learning_atomic,current_visual_ids,origin_char,origin_ids,component_count,has_recursive_component,components_json,origin_components_json
joyo2136_ui_recursive_v2_visual,current_visual,且,U+4E14,(thả),(thả),"và, hơn nữa","Nhìn 且 như nhiều lớp vật xếp chồng, lớp này còn nối thêm lớp kia; cảm giác “và còn nữa” giúp nhớ 且 — và, hơn nữa.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,且,且,且,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,丘,U+4E18,khâu,Khâu,đồi,Nhìn toàn chữ 丘 như một gò đất nhô cao khỏi mặt bằng; vừa thấy cái gò ấy là nhớ 丘 — đồi.,Hội ý theo dạng gốc 丠: ⿱北一. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,ideographic,false,丘,丠,⿱北一,0,False,[],"[{""order"":1,""component"":""北"",""display"":""北"",""han_viet"":""bắc"",""meaning_vi"":""phía bắc, phương bắc"",""position_ui"":""top"",""position_vi"":""phía trên"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""一"",""display"":""一"",""han_viet"":""nhất (hoành)"",""meaning_vi"":""một (1) (còn gọi là nét Hoành hay nét ngang)"",""position_ui"":""bottom"",""position_vi"":""phía dưới"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,世,U+4E16,thế,Thế,đời,"Ba đoạn đứng nối nhau như nhiều thế hệ cùng nằm trên một dòng thời gian; đó là 世 — đời, thế hệ.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,世,世,世,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,丙,U+4E19,bính,Bính,"can bính, (cái) thứ ba","Hình 丙 như vật được đặt trong một khung, đứng sau 甲 và 乙 trong hàng Can; nhớ nó là vị trí thứ ba — Bính.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,⿱一内,丙,丙,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,両,U+4E21,lưỡng,Lưỡng,cả hai,Hai người cùng ngồi trong một cỗ xe; chỉ cần nhìn cảnh “hai người đi cùng” là nhớ 両 — cả hai.,Hội ý theo dạng gốc 兩: ⿱一㒳.,ideographic,false,両,兩,⿱一㒳,0,False,[],"[{""order"":1,""component"":""一"",""display"":""一"",""han_viet"":""nhất (hoành)"",""meaning_vi"":""một (1) (còn gọi là nét Hoành hay nét ngang)"",""position_ui"":""top"",""position_vi"":""phía trên"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""㒳"",""display"":""㒳"",""han_viet"":"""",""meaning_vi"":"""",""position_ui"":""bottom"",""position_vi"":""phía dưới"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,並,U+4E26,tịnh,Tịnh,"xếp hàng, hạng thường","Hai người đứng sát cạnh nhau thành một hàng; đó là 並 — xếp hàng, song song.",Hội ý theo dạng gốc 竝: ⿰立立. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,ideographic,false,⿱䒑业,竝,⿰立立,2,False,"[{""order"":1,""component"":""䒑"",""display"":""䒑"",""render_type"":""unicode"",""render_value"":""䒑"",""glyphwiki_name"":"""",""han_viet"":""thảo đầu"",""han_viet_display"":""Thảo đầu"",""meaning_vi"":""cỏ"",""mnemonic_vi"":""Ghép 丷 (bát đầu) — tám + 一 (nhất (hoành)) — một; dùng hình này để nhớ ý “cỏ”."",""mnemonic_source"":""component_master"",""position_raw"":""top"",""position_ui"":""top"",""position_vi"":""phía trên"",""role"":""visual_only"",""role_vi"":""thành phần hình thể"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]},{""order"":2,""component"":""业"",""display"":""业"",""render_type"":""unicode"",""render_value"":""业"",""glyphwiki_name"":"""",""han_viet"":""nghiệp"",""han_viet_display"":""Nghiệp"",""meaning_vi"":""nghề, sự nghiệp"",""mnemonic_vi"":""Gắn hình 业 với ý “nghề” khi gặp nó trong chữ ghép."",""mnemonic_source"":""component_master"",""position_raw"":""bottom"",""position_ui"":""bottom"",""position_vi"":""phía dưới"",""role"":""visual_only"",""role_vi"":""thành phần hình thể"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]}]","[{""order"":1,""component"":""立"",""display"":""立"",""han_viet"":""lập"",""meaning_vi"":""đứng thẳng. Lập tức, thành lập"",""position_ui"":""left"",""position_vi"":""bên trái"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""立"",""display"":""立"",""han_viet"":""lập"",""meaning_vi"":""đứng thẳng. Lập tức, thành lập"",""position_ui"":""right"",""position_vi"":""bên phải"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,乙,U+4E59,ất,Ất,"(vật) thứ 2, bên B","Nét 乙 uốn cong như vật đứng thứ hai phải né sang bên; nhớ thứ tự 甲 rồi 乙 để khóa “Ất, bên B”.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,乙,乙,乙,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,九,U+4E5D,cửu,Cửu,chín,Chiếc móc cong của 九 giống cái đuôi cuộn của con số 9; nhìn hình là nhớ 九 — chín.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,九,九,九,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,乞,U+4E5E,khất,Khất,ăn xin,"Hình 乞 như người cúi mình đưa tay xin; dáng khom cầu cạnh giúp nhớ 乞 — xin, ăn xin.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,⿱𠂉乙,气,气,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,乱,U+4E71,loạn,Loạn,rối loạn,"Nhìn 乱 như một đầu sợi rối ngoằn ngoèo, càng gỡ càng bung; cảnh dây rối ấy khóa nghĩa 乱 — loạn, rối.",Hội ý theo dạng gốc 亂: ⿰𤔔乙. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,ideographic,false,⿰舌乚,亂,⿰𤔔乙,2,False,"[{""order"":1,""component"":""舌"",""display"":""舌"",""render_type"":""unicode"",""render_value"":""舌"",""glyphwiki_name"":"""",""han_viet"":""thiệt"",""han_viet_display"":""Thiệt"",""meaning_vi"":""lưỡi"",""mnemonic_vi"":""Nhìn 舌 như cái lưỡi thò ra khỏi miệng; hình trực tiếp ấy giúp nhớ 舌 — lưỡi."",""mnemonic_source"":""kanji_master_v6"",""position_raw"":""left"",""position_ui"":""left"",""position_vi"":""bên trái"",""role"":""visual_only"",""role_vi"":""thành phần hình thể"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]},{""order"":2,""component"":""乚"",""display"":""乚"",""render_type"":""unicode"",""render_value"":""乚"",""glyphwiki_name"":"""",""han_viet"":""ất"",""han_viet_display"":""Ất"",""meaning_vi"":""thiên thứ 2 thuộc hàng Can"",""mnemonic_vi"":""Hình 乚 gợi trực tiếp dáng/ý “thiên thứ 2 thuộc hàng Can”."",""mnemonic_source"":""component_master"",""position_raw"":""right"",""position_ui"":""right"",""position_vi"":""bên phải"",""role"":""visual_only"",""role_vi"":""thành phần hình thể"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]}]","[{""order"":1,""component"":""𤔔"",""display"":""𤔔"",""han_viet"":"""",""meaning_vi"":"""",""position_ui"":""left"",""position_vi"":""bên trái"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""乙"",""display"":""乙"",""han_viet"":""ất"",""meaning_vi"":""thiên thứ 2 thuộc hàng Can"",""position_ui"":""right"",""position_vi"":""bên phải"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,乳,U+4E73,nhũ,Nhũ,sữa,Hãy hình dung một bàn tay bế đứa trẻ sát vào người để cho bú; cảnh nuôi trẻ ấy gắn 乳 với sữa và bú mẹ.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,⿰孚乚,乳,⿰孚乙,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,乾,U+4E7E,can (càn),Can (càn),khô hạn,Trời sáng 倝 nhưng phần 乙 như dòng nước đã co lại mất; nắng làm mọi thứ khô đi — 乾 là khô.,Hình thanh theo dạng gốc 乾: phần nghĩa 乙; phần âm 倝.,phono-semantic,false,⿸⿰𠦝𠂉乙,乾,⿸倝乙,2,False,"[{""order"":1,""component"":""⿰𠦝𠂉"",""display"":""⿰𠦝𠂉"",""render_type"":""ids_tree"",""render_value"":""⿰𠦝𠂉"",""glyphwiki_name"":"""",""han_viet"":"""",""han_viet_display"":"""",""meaning_vi"":"""",""mnemonic_vi"":"""",""mnemonic_source"":""component_master"",""position_raw"":""surround_upper_left"",""position_ui"":""outside"",""position_vi"":""bao phía trên-trái"",""role"":""visual_only"",""role_vi"":""thành phần hình thể"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]},{""order"":2,""component"":""乙"",""display"":""乙"",""render_type"":""unicode"",""render_value"":""乙"",""glyphwiki_name"":"""",""han_viet"":""ất"",""han_viet_display"":""Ất"",""meaning_vi"":""thiên thứ 2 thuộc hàng Can"",""mnemonic_vi"":""Nét 乙 uốn cong như vật đứng thứ hai phải né sang bên; nhớ thứ tự 甲 rồi 乙 để khóa “Ất, bên B”."",""mnemonic_source"":""kanji_master_v6"",""position_raw"":""inside"",""position_ui"":""inside"",""position_vi"":""bên trong"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]}]","[{""order"":1,""component"":""倝"",""display"":""倝"",""han_viet"":""cán"",""meaning_vi"":""sáng sủa; bình minh, mặt trời mọc"",""position_ui"":""outside"",""position_vi"":""bao phía trên-trái"",""role"":""phonetic"",""role_vi"":""phần âm"",""source"":""ids-analysis""},{""order"":2,""component"":""乙"",""display"":""乙"",""han_viet"":""ất"",""meaning_vi"":""thiên thứ 2 thuộc hàng Can"",""position_ui"":""inside"",""position_vi"":""bên trong"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,丸,U+4E38,hoàn,Hoàn,tròn,"Một nét cong ôm lấy chấm như viên thuốc tròn; hình gọn tròn đó giúp nhớ 丸 — viên, tròn.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,丸,丸,<仄>,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,丹,U+4E39,đan,Đan,"mực đỏ, chất chu sa, thuốc","Một chấm đỏ nằm giữa khung như hạt chu sa trong lò; màu đỏ son ấy là 丹 — đan, chu sa.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,丹,丹,丹,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,主,U+4E3B,chủ,Chủ,chủ nhân,Dấu chấm 丶 nằm ngay trên 王 như dấu đánh dấu người đứng đầu; người được đánh dấu ấy là 主 — chủ.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,⿱丶王,主,⿱丶王,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,丼,U+4E3C,(tham),(tham),tô cơm donburi,Nhìn 丼 như cái giếng 井 có một phần thức ăn rơi đúng giữa; tưởng tượng tô cơm đầy ở trung tâm để nhớ 丼 — donburi.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,⿴井丶,井,井,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,久,U+4E45,cửu,Cửu,dài lâu,"Nét của 久 kéo dài rồi mới móc lại, như một việc cứ kéo mãi không dứt; nhớ 久 — lâu dài.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,久,久,久,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,乏,U+4E4F,phạp,Phạp,thiếu thốn,Một nét như người muốn bước tiếp nhưng bị thiếu mất chỗ tựa; cảm giác “không đủ để đi tiếp” giúp nhớ 乏 — thiếu thốn.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,⿱丿之,𣥄,<正>,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,乗,U+4E57,thừa,Thừa,lên xe,"Một người đứng lên trên cây (木) như trèo lên một chỗ cao; động tác “đặt mình lên trên” giúp nhớ 乗 — lên xe, cưỡi.",Hội ý theo dạng gốc 椉: ⿱入桀.,ideographic,false,乗,椉,⿱入桀,0,False,[],"[{""order"":1,""component"":""入"",""display"":""入"",""han_viet"":""nhập"",""meaning_vi"":""vào, nhập vào"",""position_ui"":""top"",""position_vi"":""phía trên"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""桀"",""display"":""桀"",""han_viet"":""kiệt"",""meaning_vi"":"""",""position_ui"":""bottom"",""position_vi"":""phía dưới"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,了,U+4E86,liễu,Liễu,"xong, kết thúc","Nét 了 như sợi dây đã tháo nút, phần cuối buông xuống gọn; việc đã tháo xong thì “kết thúc” — 了.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,了,了,了,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,予,U+4E88,dự,Dự,"trước, dự báo, do dự","Các nét của 予 như một vật đang được chuyền về phía trước; dùng chuyển động “đưa trước” ấy để nhớ 予 — trước, dự.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,予,予,予,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,争,U+4E89,tranh,Tranh,đấu đá,"Hai phía cùng kéo một vật ở giữa, mỗi bên giằng về mình; cảnh giằng co trực tiếp gợi 争 — tranh đấu.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,⿱⺈&CDP-8BFE;,爭,⿻𠬪𠂆,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,事,U+4E8B,sự,Sự,việc,Một bàn tay cầm vật lên để bắt tay vào làm; hễ có việc phải làm thì nhớ 事 — sự việc.,Hội ý theo dạng gốc 事: ⿻一㕜. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,ideographic,false,事,事,⿻一㕜,0,False,[],"[{""order"":1,""component"":""一"",""display"":""一"",""han_viet"":""nhất (hoành)"",""meaning_vi"":""một (1) (còn gọi là nét Hoành hay nét ngang)"",""position_ui"":""overlay"",""position_vi"":""chồng nét"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""㕜"",""display"":""㕜"",""han_viet"":""sử"",""meaning_vi"":""lịch sử"",""position_ui"":""overlay"",""position_vi"":""chồng nét"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,中,U+4E2D,"trung, trúng",Trung,giữa; đánh trúng,Một nét dọc (丨) xuyên đúng giữa khung (口); đó là 中 — ở giữa.,Hội ý theo dạng gốc 中: ⿻口丨. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,ideographic,false,中,中,⿻口丨,0,False,[],"[{""order"":1,""component"":""口"",""display"":""口"",""han_viet"":""khẩu"",""meaning_vi"":""miệng (như nhân khẩu). Cửa ra vào (như xuất nhập khẩu)"",""position_ui"":""overlay"",""position_vi"":""chồng nét"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""丨"",""display"":""丨"",""han_viet"":""cổn (côn)"",""meaning_vi"":""nét sổ dọc"",""position_ui"":""overlay"",""position_vi"":""chồng nét"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,串,U+4E32,xuyến,Xuyến,"xiên, que","Hai vật (口) bị một que (丨) xuyên qua như đồ xiên; đó là 串 — xiên, xâu.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,串,串,串,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,十,U+5341,thập,Thập,mười,Một nét dọc cắt một nét ngang thành dấu thập; dấu 十 là mười.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,十,十,十,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,千,U+5343,thiên,Thiên,ngàn,Hãy hình dung mười 十 được nâng lên thành một bậc đếm lớn hơn rất nhiều; toàn chữ 千 là “ngàn”.,Hình thanh theo dạng gốc 千: phần nghĩa 十; phần âm 人.,phono-semantic,false,千,千,⿱十人,0,False,[],"[{""order"":1,""component"":""十"",""display"":""十"",""han_viet"":""thập"",""meaning_vi"":""mười (10), đủ (như thập toàn thập mỹ)"",""position_ui"":""top"",""position_vi"":""phía trên"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""人"",""display"":""人"",""han_viet"":""nhân"",""meaning_vi"":""người"",""position_ui"":""bottom"",""position_vi"":""phía dưới"",""role"":""phonetic"",""role_vi"":""phần âm"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,午,U+5348,ngọ,Ngọ,buổi trưa,Hãy coi nét dọc của 午 như kim đồng hồ đứng giữa ngày; kim chạm chính ngọ thì nhớ 午 — buổi trưa.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,⿱𠂉十,午,午,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,升,U+5347,thăng,Thăng,cái đấu,"Một chiếc đấu nhỏ có tay cầm được nâng lên để đong; hình dụng cụ đo dung tích giúp nhớ 升 — đấu, thăng.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,⿱丿廾,升,⿻十斗,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,半,U+534A,bán,Bán,một nửa,Hãy nhìn phần trên như một nhát tách 牛 ra hai phía; bị chia đôi thì còn 半 — một nửa.,Hội ý theo dạng gốc 半: 半. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,ideographic,true,半,半,半,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,協,U+5354,hiệp,Hiệp,hợp tác,"Ba lực 力 cùng dồn bên cạnh 十, nhiều sức hợp thành một hướng; cùng làm chung là 協 — hợp tác.",Hình thanh theo dạng gốc 協: phần nghĩa 十; phần âm 劦.,phono-semantic,false,⿰十劦,協,⿰十劦,2,False,"[{""order"":1,""component"":""十"",""display"":""十"",""render_type"":""unicode"",""render_value"":""十"",""glyphwiki_name"":"""",""han_viet"":""thập"",""han_viet_display"":""Thập"",""meaning_vi"":""mười (10), đủ (như thập toàn thập mỹ)"",""mnemonic_vi"":""Một nét dọc cắt một nét ngang thành dấu thập; dấu 十 là mười."",""mnemonic_source"":""kanji_master_v6"",""position_raw"":""left"",""position_ui"":""left"",""position_vi"":""bên trái"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]},{""order"":2,""component"":""劦"",""display"":""劦"",""render_type"":""unicode"",""render_value"":""劦"",""glyphwiki_name"":"""",""han_viet"":""hiệp"",""han_viet_display"":""Hiệp"",""meaning_vi"":""hợp sức, cùng sức"",""mnemonic_vi"":""Ghép 力 (lực) — lực + ⿰力力; dùng hình này để nhớ ý “hợp sức”."",""mnemonic_source"":""component_master"",""position_raw"":""right"",""position_ui"":""right"",""position_vi"":""bên phải"",""role"":""phonetic"",""role_vi"":""phần âm"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]}]","[{""order"":1,""component"":""十"",""display"":""十"",""han_viet"":""thập"",""meaning_vi"":""mười (10), đủ (như thập toàn thập mỹ)"",""position_ui"":""left"",""position_vi"":""bên trái"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""劦"",""display"":""劦"",""han_viet"":""hiệp"",""meaning_vi"":""hợp sức, cùng sức"",""position_ui"":""right"",""position_vi"":""bên phải"",""role"":""phonetic"",""role_vi"":""phần âm"",""source"":""ids-analysis""}]"
